DEPARTAMENTO,DIA
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
VALLE,JUEVES
AMAZONAS,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ANTIOQUIA,VIERNES
ATLANTICO,VIERNES
ATLANTICO,VIERNES
ATLANTICO,VIERNES
ATLANTICO,VIERNES
ATLANTICO,VIERNES
ATLANTICO,VIERNES
ATLANTICO,VIERNES
BOLIVAR,VIERNES
BOLIVAR,VIERNES
BOLIVAR,VIERNES
BOLIVAR,VIERNES
BOYACA,VIERNES
BOYACA,VIERNES
BOYACA,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CALDAS,VIERNES
CASANARE,VIERNES
CAUCA,VIERNES
CAUCA,VIERNES
CESAR,VIERNES
CESAR,VIERNES
CHOCO,VIERNES
CHOCO,VIERNES
CORDOBA,VIERNES
CORDOBA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
CUNDINAMARCA,VIERNES
GUAJIRA,VIERNES
GUAJIRA,VIERNES
HUILA,VIERNES
HUILA,VIERNES
HUILA,VIERNES
MAGDALENA,VIERNES
MAGDALENA,VIERNES
MAGDALENA,VIERNES
MAGDALENA,VIERNES
MAGDALENA,VIERNES
MAGDALENA,VIERNES
MAGDALENA,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
META,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
NARINHO,VIERNES
