MUNICIPIO,ARMA
IPIALES,SIN EMPLEO DE ARMAS
IPIALES,SIN EMPLEO DE ARMAS
PASTO (CT),CONTUNDENTES
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),ARMA BLANCA / CORTOPUNZANTE
MOCOA (CT),SIN EMPLEO DE ARMAS
PUERTO ASIS,CONTUNDENTES
ARMENIA (CT),ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),SIN EMPLEO DE ARMAS
ARMENIA (CT),SIN EMPLEO DE ARMAS
CALARCA,ARMA DE FUEGO
DOSQUEBRADAS,ARMA DE FUEGO
LA VIRGINIA,ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),CONTUNDENTES
SANTA ROSA DE CABAL,SIN EMPLEO DE ARMAS
BARRANCABERMEJA,ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),CONTUNDENTES
BUCARAMANGA (CT),CONTUNDENTES
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
ESPINAL,ARMA BLANCA / CORTOPUNZANTE
ESPINAL,ARMA BLANCA / CORTOPUNZANTE
GUAMO,ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA DE FUEGO
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
LERIDA,SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CANDELARIA,SIN EMPLEO DE ARMAS
PALMIRA,ARMA DE FUEGO
TULUA,ARMA DE FUEGO
TULUA,ARMA BLANCA / CORTOPUNZANTE
YUMBO,SIN EMPLEO DE ARMAS
YUMBO,SIN EMPLEO DE ARMAS
YUMBO,SIN EMPLEO DE ARMAS
LETICIA (CT),ARMA DE FUEGO
LETICIA (CT),SIN EMPLEO DE ARMAS
ABEJORRAL,SIN EMPLEO DE ARMAS
BELLO,CONTUNDENTES
ITAGUI,ARMA DE FUEGO
MARINILLA,SIN EMPLEO DE ARMAS
MARINILLA,SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ESCOPOLAMINA
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
