BARRIO,SEXO
SECTOR EL CABLE,MASCULINO
EL RAICERO,MASCULINO
VILLAMONICA,FEMENINO
EL CENTRO,MASCULINO
VILLA MARIA,FEMENINO
LUIS MARIA JIMENEZ,MASCULINO
HOBO,FEMENINO
LOS ALMENDROS,MASCULINO
LOS ALMENDROS,MASCULINO
URBANIZACION PERPETUO SOCORRO,FEMENINO
VEREDA,FEMENINO
GALAN,FEMENINO
URB. LA RIVIERA,MASCULINO
CHUCHURUBI,MASCULINO
SIMON BOLIVAR,MASCULINO
LA ESTRADA E-10,FEMENINO
LOS CEDRITOS E-1,FEMENINO
LA CAPUCHINA E-3,FEMENINO
RESTREPO E-15,FEMENINO
LA GIRALDA E-9,FEMENINO
LAGO GAITAN E-2,FEMENINO
LAS DELICIAS   E-8,MASCULINO
NIZA XII E-11,MASCULINO
SANTA MATILDE I SECTOR E-16,FEMENINO
SAMPER E-3,MASCULINO
BOSQUE CALDERON E-2,FEMENINO
POLO CLUB E-12,MASCULINO
SANTA ISABEL E-14,FEMENINO
PATIO BONITO I E-8,FEMENINO
SAN ANTONIO E-15,MASCULINO
CHICO I E-2,FEMENINO
EL CENTENARIO E-18,FEMENINO
TINTAL    E-8,MASCULINO
VILLA DEL RINCON E-11,MASCULINO
CENTRO ANTONIO NARINHO E-13,FEMENINO
VENECIA E-6,FEMENINO
QUIROGA IHS ETAPA E-18,FEMENINO
CHAPINERO CENTRAL E-2,MASCULINO
URB. MANUELA BELTRAN E-19,FEMENINO
URB. LA PUERTA DEL SOL E-11,MASCULINO
CHICO I E-2,MASCULINO
MARIA PAZ E-8,FEMENINO
CHICO NAVARRA E-1,FEMENINO
URB. CLARET EL CARMEN E-6,FEMENINO
MARIA PAZ E-8,MASCULINO
LAS MARGARITAS E-8,MASCULINO
