BARRIO,EDAD
PLAZA DE TOROS,ADULTOJOVEN
ONDAS DE OTUN,ADOLESCENTE
FUNDADORES,ADULTO
ARBOLEDA,ADULTOJOVEN
CENTRO,ADULTO
SECTOR EL CABLE,ADULTO
EL PORVENIR,ADULTOJOVEN
LA VEGA,ADULTOJOVEN
RICAURTE,ADULTOJOVEN
TORASSO,ADULTO
TORASSO,ADOLESCENTE
CENTRO,ADULTOJOVEN
OLAYA HERRERA,ADULTO
EL CARMEN,ADULTOJOVEN
FERIA GANADERA,ADULTOJOVEN
ZONA MINERA,ADULTOJOVEN
JULIO FIGUEROA VILLA,ADULTOJOVEN
VEREDA SANTA ANA,ADULTOJOVEN
LAS AGUAS E-17,ADULTOJOVEN
URB. PALENQUE E-8,ADULTO
TEUSAQUILLO E-13,ADULTOMAYOR
VILLA NELLY E-8,ADULTO
GALERIAS E-13,ADULTOMAYOR
LA MACARENA E-3,ADULTOJOVEN
PASADENA ROYAL E-11,ADULTOJOVEN
LA CASTELLANA E-12,ADULTOMAYOR
LA CASTELLANA E-12,ADULTO
CIUDAD JARDIN SUR E-15,ADULTO
BILBAO E-11,ADULTOMAYOR
ESTADOS UNIDOS   E-8,ADULTOMAYOR
IBERIA E-11,ADULTOJOVEN
CHICO NORTE I E-2,ADULTO
SUBA CENTRO E-11,ADULTOJOVEN
GUSTAVO RESTREPO E-18,ADULTOJOVEN
EL PLAYON - LA PLAYITA III E-18,ADULTOJOVEN
ENTRERIOS E-12,ADULTO
QUIRIGUA I E-10,ADULTOJOVEN
"LA SOLEDAD, SAN JOSE NORTE E-10",ADULTO
BOSQUES DE SAN JOSE E-18,ADULTOJOVEN
VILLA CLEMENCIA E-7,ADULTOJOVEN
EL RECREO E-7,ADULTOJOVEN
LAS MARGARITAS E-7,ADULTOJOVEN
CENTRO,ADULTOJOVEN
CENTRO,ADULTOJOVEN
EL CARMEN,ADULTOJOVEN
EL CARMEN,ADULTOJOVEN
LA VICTORIA,ADULTOJOVEN
RAFAEL AZUERO MANCHOLA,ADULTOJOVEN
LUIS CARLOS GALAN ETAPA I,ADULTO
ENRIQUE OLAYA HERRERA,ANCIANO
VILLA MELIDA,ADULTO
RELIQUIA,ADULTOMAYOR
BARZAL BAJO,ADULTO
DONHA LUZ,ANCIANO
REMANSO,ADULTOJOVEN
VILLA JULIA,ADULTOMAYOR
LLANO LINDO,ADULTOJOVEN
JORDAN,ADULTOJOVEN
ESTERO,ADULTOJOVEN
CAMINO REAL,ADULTO
MACUNAIMA,ADULTO
COMUNEROS,ADULTOMAYOR
ESTERO,ADOLESCENTE
SANTANDER,ADULTO
CENTRO,ADULTOJOVEN
GOLGOTA,ADULTOMAYOR
OBRERO,ADULTOMAYOR
20 DE JULIO,ADULTO
LORENZO,ADULTO
LORENZO,ADULTO
MORASURCO,ADULTO
SAN JUAN BOSCO,ADULTO
CENTRO,ADULTOMAYOR
CENTRO,ADULTOJOVEN
CENTRO,ADULTOMAYOR
AV. CHAMPAGNAT,ADULTO
CENTRO,ADULTOJOVEN
NIZA III,ADULTO
ESTADIO LIBERTAD,ADULTOJOVEN
LORENZO,ADULTOJOVEN
PLAZA DEL CARNAVAL,ADULTOMAYOR
CENTRO,ADULTOJOVEN
CENTRO,ADULTOJOVEN
CENTRO,ADULTO
EL MORRO,ADOLESCENTE
SAN JUAN,ADULTO
BARRIO LOS PINOS,ANCIANO
BARRIO LA PLAYA,ADULTOJOVEN
BARRIO SAN JOSE,ADULTOJOVEN
BARRIO LA LIBERTAD,ADULTOJOVEN
BARRIO SIMON BOLIVAR,ADULTOJOVEN
BARRIO CENTRO,ADULTOJOVEN
PABLO VI,ADULTOJOVEN
CENTRO,ADULTO
CIUDADELA UNIVERSITARIA,ADULTO
PERPETUO SOCORRO,ADULTO
SAN FERNANDO,ADULTOJOVEN
MIRAFLORES BAJO,ADULTOJOVEN
ZONA CENTRO,ADULTOMAYOR
PLAZOLETA LA VILLA,ADULTO
LOS NARANJOS,ADULTOJOVEN
VILLAVICENCIO,ADULTOJOVEN
SECTOR AV 30 AGO ENTRE CL 37 Y 41,ADULTOJOVEN
SECTOR COMERCIAL,ADULTOMAYOR
SANTA ISABEL,ADULTO
LA ESPERANZA,ADULTO
JARDINES DE COAVICONSA,ADULTOJOVEN
NUEVO SOTOMAYOR,ADULTOJOVEN
SAN RAFAEL,ADULTOJOVEN
SAN FRANCISCO,ANCIANO
KENNEDY,ADULTO
LA PAZ E2,ADULTOJOVEN
BUCARAMANGA,ADULTO
LAGOS I,ADULTOJOVEN
