MUNICIPIO,BARRIO
VILLAVICENCIO (CT),RELIQUIA
VILLAVICENCIO (CT),BARZAL BAJO
VILLAVICENCIO (CT),DONHA LUZ
VILLAVICENCIO (CT),REMANSO
VILLAVICENCIO (CT),VILLA JULIA
VILLAVICENCIO (CT),LLANO LINDO
VILLAVICENCIO (CT),JORDAN
VILLAVICENCIO (CT),ESTERO
VILLAVICENCIO (CT),CAMINO REAL
VILLAVICENCIO (CT),MACUNAIMA
VILLAVICENCIO (CT),COMUNEROS
VILLAVICENCIO (CT),ESTERO
IPIALES,SANTANDER
IPIALES,CENTRO
IPIALES,GOLGOTA
IPIALES,OBRERO
IPIALES,20 DE JULIO
PASTO (CT),LORENZO
PASTO (CT),LORENZO
PASTO (CT),MORASURCO
PASTO (CT),SAN JUAN BOSCO
PASTO (CT),CENTRO
PASTO (CT),CENTRO
PASTO (CT),CENTRO
PASTO (CT),AV. CHAMPAGNAT
PASTO (CT),CENTRO
PASTO (CT),NIZA III
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),LORENZO
PASTO (CT),PLAZA DEL CARNAVAL
PASTO (CT),CENTRO
PASTO (CT),CENTRO
PASTO (CT),CENTRO
SAN ANDRES DE TUMACO,EL MORRO
TUQUERRES,SAN JUAN
CUCUTA (CT),BARRIO LOS PINOS
CUCUTA (CT),BARRIO LA PLAYA
CUCUTA (CT),BARRIO SAN JOSE
CUCUTA (CT),BARRIO LA LIBERTAD
OCANHA,BARRIO SIMON BOLIVAR
SAN CAYETANO,BARRIO CENTRO
MOCOA (CT),PABLO VI
MOCOA (CT),CENTRO
MOCOA (CT),CIUDADELA UNIVERSITARIA
SANTIAGO,PERPETUO SOCORRO
ARMENIA (CT),SAN FERNANDO
ARMENIA (CT),MIRAFLORES BAJO
CALARCA,ZONA CENTRO
CALARCA,PLAZOLETA LA VILLA
DOSQUEBRADAS,LOS NARANJOS
PEREIRA (CT),VILLAVICENCIO
PEREIRA (CT),SECTOR AV 30 AGO ENTRE CL 37 Y 41
BARRANCABERMEJA,SECTOR COMERCIAL
BARRANCABERMEJA,SANTA ISABEL
BARRANCABERMEJA,LA ESPERANZA
BUCARAMANGA (CT),JARDINES DE COAVICONSA
BUCARAMANGA (CT),NUEVO SOTOMAYOR
BUCARAMANGA (CT),SAN RAFAEL
BUCARAMANGA (CT),SAN FRANCISCO
BUCARAMANGA (CT),KENNEDY
CALI (CT),LA PAZ E2
BUCARAMANGA (CT),BUCARAMANGA
FLORIDABLANCA,LAGOS I
FLORIDABLANCA,HACIENDA SAN JUAN
GIRON,CONVIVIR
PIEDECUESTA,CENTRO P/TA
SANTIAGO DE TOLU,EL PROGRESO
SINCELEJO (CT),ESPANHA
IBAGUE (CT),HACIENDA PIEDRAPINTADA
IBAGUE (CT),EL CARMEN
IBAGUE (CT),ESTACION
IBAGUE (CT),CADIZ
IBAGUE (CT),TOLIMA GRANDE
IBAGUE (CT),JORDAN MUTIFAMILIARES
IBAGUE (CT),SANTA RITA
MELGAR,CENTRO
